geo_id,annee,mm_15p,mm_25_49,mm_15_34,mm_50p,mm_cspp,mm_femmes,part_25_49,part_15_34,part_50p,part_cspp
93064,2021,397449,100511,83332,121672,74790,203145,25.3,21.0,30.6,18.8
93005,2022,260400,74711,59994,85540,54856,131714,28.7,23.0,32.8,21.1
93005,2021,389015,103971,92987,118775,73580,198859,26.7,23.9,30.5,18.9
94017,2022,163704,48077,39738,49529,33791,82220,29.4,24.3,30.3,20.6
94017,2021,459135,124747,109285,156359,107437,229805,27.2,23.8,34.1,23.4
94068,2022,236352,62503,55148,81233,46143,121006,26.4,23.3,34.4,19.5
94068,2021,386832,99209,81473,117223,80335,200673,25.6,21.1,30.3,20.8
94080,2022,166095,42527,35621,54403,42671,84143,25.6,21.4,32.8,25.7
94080,2021,59943,16760,13081,19601,14961,31161,28.0,21.8,32.7,25.0
94041,2022,275626,80637,55776,90480,54031,142590,29.3,20.2,32.8,19.6
94041,2021,94901,27103,21609,30576,24247,48391,28.6,22.8,32.2,25.5
94052,2022,336506,88231,79109,107966,62631,172468,26.2,23.5,32.1,18.6
94052,2021,265303,69474,60282,84647,64068,134390,26.2,22.7,31.9,24.1
94058,2022,351366,103145,76621,120577,82437,179351,29.4,21.8,34.3,23.5
94058,2021,468318,134084,115081,152125,91869,235842,28.6,24.6,32.5,19.6
94059,2022,463398,124287,107518,158806,113843,240772,26.8,23.2,34.3,24.6
94059,2021,340835,89576,79799,116758,87162,175231,26.3,23.4,34.3,25.6
94033,2022,214517,64155,51085,73300,47085,107906,29.9,23.8,34.2,21.9
94033,2021,391432,98323,78861,136976,88339,196105,25.1,20.1,35.0,22.6
94038,2022,61788,16534,14284,20986,13997,31745,26.8,23.1,34.0,22.7
94038,2021,92140,27073,19046,30996,23113,46627,29.4,20.7,33.6,25.1
94019,2022,409367,121604,99055,126024,87775,210680,29.7,24.2,30.8,21.4
94019,2021,73638,21930,15955,22230,13307,37435,29.8,21.7,30.2,18.1
94003,2022,438240,122142,107337,149148,87705,219618,27.9,24.5,34.0,20.0
94003,2021,112890,30836,28068,37327,24445,56568,27.3,24.9,33.1,21.7
94081,2022,410446,111881,88580,125654,99649,210212,27.3,21.6,30.6,24.3
94081,2021,70726,20666,15636,24678,15229,35984,29.2,22.1,34.9,21.5
94022,2022,360936,103114,77512,123262,69225,183247,28.6,21.5,34.2,19.2
94022,2021,424738,112073,86650,140380,103664,219756,26.4,20.4,33.1,24.4
94021,2022,479798,130250,98549,145716,88355,246028,27.1,20.5,30.4,18.4
94021,2021,106215,30432,25043,32101,20829,53752,28.7,23.6,30.2,19.6
94055,2022,391360,114984,82069,119703,101047,199613,29.4,21.0,30.6,25.8
94055,2021,59551,17101,12655,18405,11502,30209,28.7,21.3,30.9,19.3
94060,2022,62180,18371,13294,21249,12581,31757,29.5,21.4,34.2,20.2
94060,2021,285357,79618,61032,88465,69327,144822,27.9,21.4,31.0,24.3
94002,2022,470616,121982,99765,155534,105477,242293,25.9,21.2,33.0,22.4
94002,2021,225945,61947,52540,71115,48628,117275,27.4,23.3,31.5,21.5
94054,2022,157555,47168,38087,47294,32295,79163,29.9,24.2,30.0,20.5
94054,2021,413244,104939,91354,131919,93434,207554,25.4,22.1,31.9,22.6
94037,2022,327843,93957,67749,101379,62486,169283,28.7,20.7,30.9,19.1
94037,2021,284026,78881,61214,98011,62607,144597,27.8,21.6,34.5,22.0
94053,2022,496951,136887,104513,161884,122624,255982,27.5,21.0,32.6,24.7
94053,2021,104486,29345,21460,31697,26458,53762,28.1,20.5,30.3,25.3
94028,2022,228274,67627,52214,78853,56743,114535,29.6,22.9,34.5,24.9
94028,2021,327262,86665,79388,109410,62907,164473,26.5,24.3,33.4,19.2
